nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Travaux de restauration sur le réseau de sites gérés par le CEN Bourgogne,"Chaque site ou entité cohérente de gestion CEN fait l'objet du déploiement de plan de gestion validé par un conseil scientifique et technique. Ces plans de gestion comportent des actions de restauration, de gestion, de suivis, etc. 
Le présent dossier cible des actions de restauration dont le financement n'a pas pu être finalisé dans le cadre du soutien standard des partenaires du CEN. ",11058.00,23307002,,AID-2025-04442,Agence de l'eau,SN Biodiversité,Bourgogne-Franche-Comté,Côte-d'Or,21,38165327800089,CONSERVATOIRE D'ESPACES NATURELS DE BOURGOGNE,Association déclarée,21263,Fénay
Accompagnement des gestionnaires de Reserves Naturelles de Bourgogne-Franche-Comté à la mise en œuvre de la démarche d’adaptation au changement climatique Natur’Adapt,"Le projet proposé par RNF, prévu sur 4 ans (2025 à 2028),vise à accompagner les gestionnaires de RN de la Région Bourgogne Franche-Comté dans l'intégration du changement climatique dans la gestion de leur réserve. Les gestionnaires seront accompagné dans la mise en œuvre d'une démarche d'adaptation de leur gestion (basée sur la démarche Natur'Adapt) et réaliseront une analyse climatique de leur réserve, puis un diagnostic de vulnérabilité, afin de définir des mesures d'adaptation qui seront intégrées dans le document de gestion. L'accompagnement proposé aux gestionnaires comprend des temps d'ateliers collectifs et d'appuis individuels.  
Le projet répond à un besoin exprimé par les gestionnaires de BFC et aux attentes de la DREAL et de la Région BFC, ainsi qu'aux enjeux liés à leurs différentes politiques : Plan d’action territorial BFC de la SNAP, Stratégie régionale pour la biodiversité (SRB), etc. ",45006.00,23317719,2104752158,,,SN Biodiversité,Bourgogne-Franche-Comté,Côte-d'Or,21,42843483100031,RESERVES NATURELLES DE FRANCE,Association déclarée,21231,Dijon
Demande de reconnaissance en Zone de Protection Forte des sites protégés et gérés par le CEN Bourgogne,"La Stratégie nationale pour les aires protégées, adoptée en janvier 2021 par le gouvernement et traduite dans la législation par la loi n° 2021-1104 du 22 août 2021 portant lutte contre le dérèglement climatique et renforcement de la résilience face à ses effets prévoit notamment de placer 10 % de du territoire français sous protection forte. Les conditions d’atteintes de cet objectif sont précisées dans le décret n° 2022527 du 12 avril 2022 définissant la notion de protection forte et les modalités de sa mise en œuvre, qui distingue les zones de protection forte (ZPF) « automatiques » (ayant une portée réglementaire) et les ZPF au « cas par cas » pour un certain nombre d’espaces dès lors qu’ils remplissent certaines conditions. Les sites protégés et gérés par un CEN peuvent être dans ce dernier cas de figure. Ainsi le CEN Bourgogne par ce projet souhaite réaliser des demandes de reconnaissance ZPF dans le cadre du PAT 2 de la SAP (2025/2027).",151193.65,23321142,2104697671,,,SN Biodiversité,Bourgogne-Franche-Comté,Côte-d'Or,21,38165327800089,CONSERVATOIRE D'ESPACES NATURELS DE BOURGOGNE,Association déclarée,21263,Fénay
Sauvegarde des Chiroptères en détresse par la médiation auprès des propriétaires -SOS Chauves-souris,"Depuis presque une dizaine d'années, le CPIE fait partie du réseau national de médiation de la SFEPM : le réseau SOS Chiro. Ce réseau permet de venir en aide aux propriétaires qui rencontreraient des difficultés de cohabitation avec les chauves-souris. Il permet également de venir en aide aux chauves souris en détresse ou en difficulté. Depuis près de cinq ans, le CPIE assure une formation aux bénévoles qui souhaiteraient s'investir dans la médiation, afin d'étendre la couverture de son réseau SOS Chiro, et être ainsi mobilisable partout en Sarthe.
",5900.00,23327715,2104811001,,,SN Biodiversité,Pays de la Loire,Sarthe,72,34173003400053,LA SARTHE AU FIL DE L'EAU,Association déclarée,72154,La Flèche
Opérations de lutte contre les espèces exotiques envahissantes animales et végétales (mai 2025-avril 2026),"Compte tenu des enjeux de préservation de la biodiversité du territoire martiniquais, la lutte contre les EEE animales et végétales constitue une priorité en terme de réduction des pressions. Cette lutte nécessite des moyens humains opérationnels sur l’ensemble du territoire. Le PNRM a donc mis en place une brigade d’intervention qui a montré, par ses interventions d’éradication ou de régulation d’EEE animales et végétales sur le territoire martiniquais en 2023 et 2024, qu’elle répond à une exigence en matière de restauration de la biodiversité.  En 2025, fort de son expérience en matière de lutte contre les EEE, le PNRM propose des actions ciblées sur certaines espèces et des sites choisis pour leurs enjeux en termes de conservation.",360000.00,23335602,2104776927,,,SN Biodiversité,Martinique,Martinique,972,25972001900027,SYNDICAT MIXTE DU PARC NATUREL REGIONAL DE MARTINIQUE,Syndicat mixte ouvert,97209,Fort-de-France
Améliorer la prise en compte des chiroptères dans la gestion forestière publique et privée de Charente-Maritime,"Nous proposons d'identifier et protéger les arbres utilisés par les chauves-souris sur les Espaces Naturels Sensibles boisés de Charente-Maritime, essentiels à la survie des chauves-souris arboricoles. Pour ce faire, nous souhaitons :
-	Inspecter les cavités d’arbres à la recherche de sites de mise-bas ou d’hibernation dans les boisements du département identifiés avec le plus d’enjeux chiroptères ; 
-	Marquer et protéger les arbres à cavités identifiés comme essentiels aux chauves-souris ;
-	Conventionner et protéger les arbres identifiés avec des cavités avec les propriétaires des parcelles pour les protéger dans le temps.
-	Sensibiliser et former les propriétaires et professionnels des boisements à la préservation des arbres favorables à la faune ;
-	Rédiger un guide de gestion forestière qui tient compte des enjeux biodiversité, à destination des propriétaires et professionnels.
Application de l'Action N°8 du PNA chiroptères.

",13757.26,23351576,2104881403,,,SN Biodiversité,Nouvelle-Aquitaine,Charente-Maritime,17,78426328700103,LIGUE FRANCAISE PROTECTION OISEAUX,Association déclarée,17299,Rochefort
Ingénierie de maîtrise foncière dans le val d’Allier alluvial ,"Cette action vise à faire émerger des actions opérationnelles de préservation et restauration de la dynamique fluviale à travers des opérations d'acquisitions foncières amiables des contractualisations d'accord fonciers (ORE), et à accompagner les propriétaires et acteurs locaux pour une meilleure prise en compte de la divagation de l'Allier au sein de son espace de mobilité.",10024.00,23357122,,AID-2025-04495,Agence de l'eau,SN Biodiversité,Auvergne-Rhône-Alpes,Allier,03,39364958700044,CONSERVATOIRE D ESPACES NATURELS DE L ALLIER,Association déclarée,03065,Châtel-de-Neuvre
Préservation des milieux prairiaux du Val d’Allier et valorisation des services environnementaux,"Ce projet vise à : Préserver les milieux ouverts, en particulier sur les dernières prairies naturelles anciennes de la plaine et le Domaine Public Fluvial - Favoriser l’échange d’expérience entre agriculteurs pour préserver les pelouses et prairies du Val d’Allier - Valoriser les services fournis par les agriculteurs sur les prairies naturelles du val d'Allier - Favoriser sur les prairies du val d'Allier des partenariats ""gagnant/gagnant"" entre les propriétaires publics et les agriculteurs",9875.00,23357603,,AID-2025-04494,Agence de l'eau,SN Biodiversité,Auvergne-Rhône-Alpes,Allier,03,39364958700044,CONSERVATOIRE D ESPACES NATURELS DE L ALLIER,Association déclarée,03065,Châtel-de-Neuvre
RESTAURATION DE LA BIODIVERSITE FLORISTIQUE DU LITTORAL DE LA PERLE RIFFLET DANS UN CONTEXTE DE RECUL DU TRAIT DE COTE ,"Il s'agit d'un projet ayant pour ambition de lutter contre la perte de biodiversité au niveau des habitats côtiers composant la zone littorale de la Perle-Riflet dans une démarche s'appuyant sur les solutions fondées sur la nature. Le site identifié dans le cadre du projet de restauration écologique du bord de mer, se caractérise par une attractivité importante. Cette dernière s'illustre notamment par une fréquentation liée aux usages touristiques et récréatifs, des activités s'appuyant considérablement sur un patrimoine naturel et paysager remarquable fortement fragilisé. De ce constat, une érosion notable de la biodiversité et des habitats est observée sur ce secteur, impactant donc la qualité des services écosystémiques et des fonctions écologiques des écosystèmes de plage. Le recul du trait de côte qui marque ce site, fragilise directement les enjeux écologiques et socio-économiques identifiés au niveau de la bande côtière et ses espaces limitrophes.",48589.47,23367521,2104792088,,,SN Biodiversité,Guadeloupe,Guadeloupe,971,21971111600018,COMMUNE DE DESHAIES,Commune et commune nouvelle,97111,Deshaies
Programme de restauration des pelouses calcicoles dans le Sud Seine et Marne et ses environs,"Ce projet de restauration des pelouses calcicoles a déjà fait l'objet d'une 1ere phase d'actions par l'ANVL avec le support de la région. Sur cette 2ème phase, plusieurs points et actions seront abordés. Ils concerneront la réponse et relance du porter à connaissance pour la valorisation des pelouses, leur caractérisation, le suivi de leur état de conservation et surtout la réalisation de chantiers de réouverture des pelouses.
Ce projet vise l'accompagnement technique de propriétaires, la mobilisation des outils réglementaires pour la préservation des pelouses calcicoles (APPB).
Ce projet se veut sensibilisant pour le public et acteurs locaux, par la mise en place de panneaux éducatifs et création de supports visuels (fiches de sensibilisation, flyers, etc.)

La date de lancement de cette seconde phase initialement prévue début 2025 sera adaptée à la date d'acceptation de cette demande de subvention.",104700.00,23386970,2104917776,,,SN Biodiversité,Île-de-France,Seine-et-Marne,77,38960512200016,ASS NATURALISTES DE LA VALLEE DU LOING,Association déclarée,77316,Moret-Loing-et-Orvanne
étude des Odonates des mares et ruisseaux prairiaux en contexte bocager,"Travail d'inventaire de l'Agrion de Mercure,  espèce de ""Demoiselle"" protégée, à l'échelle du bocage de Thiérache.
l'objectif de cette étude est de documenter et préciser la présence de l'espèce protégée, en Thiérache, au sein d'un paysage et de milieux fortement menacés. Les informations recueillies permettront mieux connaître la présence de l'espèce et de mettre en place les mesures de protection ou d'éviter la destruction de leurs milieux de vie lorsque des demandes de modification des milieux ou des atteintes à leur intégrité sont constatées.
Les phases de terrain seront suivies de valorisation des données sur le site clic nat et feront l'objet d'un rapport de synthèse",12598.00,23392381,2104699963,,,SN Biodiversité,Hauts-de-France,Aisne,02,30537907500016,CTRE PERMANENT INITIATIVE ENVIRONNEMENT,Association déclarée,02381,Hirson
"Lutte opérationnelle contre les perruches exotiques (A. krameri, P. eupatria) et l’arbre-pieuvre (H. actinophyllum), et appui stratégique à la lutte contre les EEE émergentes à La Réunion","Le projet vise à poursuivre et intensifier la lutte contre les Espèces Exotiques Envahissantes (EEE) 'émergentes' identifiées comme problématiques pour l’agriculture, la santé publique et la biodiversité de La Réunion. Initié en juillet 2022, les actions de lutte ont ciblé la Perruche à collier (P. krameri) et la Perruche alexandre (P. eupatria), avant de s’étendre au Corbeau familier (C. splendens), et à l’Arbre-pieuvre (H. actinophylla) sur terrains publics. Huit communes de l'île se sont engagées aux côtés de l’IRI, avec pour objectif d’éliminer totalement ces EEE 'émergentes' du milieu naturel. L'élimination des Arbres-pieuvre pourra s'étendre aux terrains des particuliers afin d'éliminer les semenciers susceptibles de disséminer dans le milieu naturel et l'IRI pourra apporter un appui ponctuel à une démarche collective et concertée contre d'autres EEE émergentes sur des secteurs géographiques à forts enjeux écologiques. ",199994.00,23392632,2104897438,,,SN Biodiversité,La Réunion,La Réunion,974,89861961400016,INITIATIVE POUR LA RESTAURATION ECOLOGIQUE EN MILIEU INSULAIRE,Association déclarée,97416,Saint-Pierre
Renforcement des connaissances pour la déclinaison de stratégies de conservation à travers le suivi d’une espèce indicatrice : le Dauphin de Guyane (Sotalia guianensis) -  Suivi des populations par ULM le long du littoral de Guyane et cartographie des enjeux. ,"En Guyane, la présence du Dauphin de Guyane (Sotalia guianensis) est attestée tout le long de la côte, même si les populations semblent se regrouper autour des zones rocheuses et des estuaires. Si l’espèce fait aujourd’hui l’objet d’un Plan National d’Actions (PNA), les données disponibles sont actuellement insuffisantes pour connaître précisément son abondance globale et sa tendance démographique. 

La mise en place d’un suivi ULM standardisé et régulier sur l’ensemble du linéaire côtier permettra d’obtenir des données fiables sur la distribution, l’abondance et la dynamique des populations en Guyane ; couvrant ainsi les portions de bande côtière difficilement accessibles. L’analyse des données de distribution du Dauphin de Guyane et des activités humaines permettra de mettre en évidence des secteurs à enjeux pour la préservation de l’espèce et de ses habitats afin de répondre aux stratégies nationales et locales (création d'AMP)
",76428.87,23399232,2104798659,,,SN Biodiversité,Guyane,Guyane,973,92439089100019,EDEN-I,Association déclarée,97309,Remire-Montjoly
Piégeage sélectif des fondatrices de frelon asiatique (Vespa velutina) en Pays de la Loire,"Ce projet vise à déployer de manière coordonnée un piégeage sélectif de printemps du frelon asiatique (Vespa velutina) sur l’ensemble du territoire des Pays de la Loire. Porté par le GDS, en tant qu’Organisme à Vocation Sanitaire (OVS) pour l’animal, ce dispositif s’inscrit dans le cadre du plan national de lutte contre cette espèce exotique envahissante. L’objectif est de réduire la pression exercée sur les pollinisateurs, en particulier les abeilles domestiques, en capturant les fondatrices au printemps avant la formation des nids. Le projet repose sur un maillage territorial associant collectivités (EPCI), référents frelon, apiculteurs et autres acteurs locaux, en complément de l’action de l’OVS végétal chargé de la destruction des nids. Cette approche collective vise à renforcer l’efficacité de la lutte et la résilience des écosystèmes.",82232.00,23400828,,,,SN Biodiversité,Pays de la Loire,Maine-et-Loire,49,50842245800010,GROUPEMENT DE DEFENSE SANITAIRE DES PAYS DE LOIRE - DESIGNE PAR GDS PAYS DE LA LOIRE,Association déclarée,49353,Trélazé
Aménagements de banquettes à loutre et signalisation sur des ouvrages d'art départementaux,"Ce projet s'inscrit dans le Plan Régional d'Actions BFC en faveur de la loutre d'Europe, déclinaison du Plan National d'Actions portant sur la même espèce. Accompagné par la Société d'Histoire Naturelle d'Autun (SHNA-OFAB), le Conseil Départemental souhaite poursuivre son programme de réalisation d'aménagements, initié en 2023, sur des ouvrages d'art identifiés comme ""points noirs"" pour la loutre. En effet, plusieurs ouvrages d'art, propriété du Département, présentent pour la continuité écologique de la loutre d'Europe des niveaux de risque ""très fort"" (risque de collision avec des véhicules). Le programme présenté vise à traiter 19 ouvrages sur une période de 3 années (y compris études préalables), soit par l'aménagement de banquettes lorsque cela est possibles (10 ouvrages), soit par la pose d'une signalisation routière adaptée (9 ouvrages). ",81036.38,23402597,,1116508,Seine-Normandie,SN Biodiversité,Bourgogne-Franche-Comté,Yonne,89,22890001500139,DEPARTEMENT DE L'YONNE,Département,89134,Cussy-les-Forges
Lutte contre la prolifération de la berce du Caucase sur le bassin versant du Sègre – Tranche 2025,"La berce du Caucase, plante exotique envahissante est classée en région Occitanie en plante « émergente ». Elle a été introduite pour son caractère ornemental sur le BV du Sègre pendant l’entre-deux-guerres sur la commune de Font-Romeu.
Sa sève photo-toxique provoque des brûlures cutanées sévères suite à l’exposition à la lumière. Elle est une menace environnementale pour sa concurrence déloyale vis-à-vis des plantes autochtones et la déstabilisation de l’écosystème local.
La non-maitrise initiale de ces plants a mené à la colonisation du milieu naturel dont certains cours d’eau ont permis une colonisation plus rapide de l’aval du BV Sègre.
Objectif: casser la chaine de dissémination en éliminant la production et dissémination de nouvelles graines (plan de lutte régional et transfrontalier de la berce du Caucase-Région Occitanie-Catalogne).
L’importance de la régularité sur le long terme est primordiale afin d’obtenir des résultats.",7500.00,23412381,2104775060,,,SN Biodiversité,Occitanie,Pyrénées-Orientales,66,24660039900132,COMMUNAUTE DE COMMUNES PYRENEES-CERDAGNE,Communauté de communes,66124,Font-Romeu-Odeillo-Via
Programme annuel d'actions de préservation et de valorisation des milieux naturels de la Réserve Naturelle Nationale des Marais d'Isle - Année 2025,"En 2025, il est requis l'entretien des roselières par rotation quadriennale en faisant appel à une entreprise extérieure.
Ces travaux sont programmés sur près de 6 ha et consisteront en la fauche exportatrice de roselières et la coupe de rejets issus de souches au coeur de roselières ou sur berges.
L'exportation des produits est requise jusqu'en rive de chaque secteur considéré.
L'équipe de la régie sera ponctuellement chargée de l'exportation par voie d'eau et aidée dans son débarquement sur une zone de dépôt provisoire par l'entreprise.
Des opérations ponctuelles sont également mises en place avec un chantier de réinsertion de l'AIPSQ ""Cap-Vert"". Des coupes de rejets, taille de saules en têtards, tressages de berges, élagages, recépages ou encore arrachage de végétation exotiques envahissantes (Aster, Solidago, Cornus) sont réalisés par cette structure.",30000.00,23416419,2104836563,,,SN Biodiversité,Hauts-de-France,Aisne,02,20007189200067,CA DU SAINT-QUENTINOIS,Communauté d'agglomération,02691,Saint-Quentin
Protection des sites majeurs pour les Chiroptères en Loire-Atlantique en 2025,"Le but de cette opération est de coordonner la protection des sites majeurs à chauves-souris en Loire-Atlantique.
La protection de ces sites repose pour grande partie sur des suivis bénévoles qui maintiennent le contact avec les propriétaires. Ce suivi s’avère être la base primordiale si l'on veut maintenir des liens avec les propriétaires et donc maintenir voir améliorer la conservation de ces sites pour les chiroptères. C’est ainsi qu’une coordination du réseau et un appui technique est indispensable.
Enfin, la pérennité des sites par leur mise en protection est essentielle pour un maintien en bon état des populations de chiroptères en Loire-Atlantique. Il est donc prévu de continuer le travail d’accompagnement des communes ayant un site en APPB (protection forte) pour les chiroptères (11 sites en Loire-Atlantique).",8655.00,23419233,2104754462,,,SN Biodiversité,Pays de la Loire,Loire-Atlantique,44,37960763300011,GROUPE MAMMALOGIQUE BRETON,Association déclarée,44109,Nantes
Déclinaison du PNA Vipères 2025-2029,"L’objectif de la déclinaison régionale du PNA Vipères est d’améliorer l’état de conservation des populations à l’échelle régionale des deux espèces de vipères présentes en Bourgogne-Franche-Comté à savoir : la vipère aspic et la vipère péliade. Il s’agit de mettre en place à l’échelle de populations locales des opérations visant au maintien et à l’amélioration des habitats, ces deux objectifs passant notamment par des actions ciblées sur l’amélioration de leur image et de leur prise en compte auprès de tout acteur du territoire. ",160000.00,23420919,2104804288,,,SN Biodiversité,Bourgogne-Franche-Comté,Doubs,25,40111527400045,LPO BOURGOGNE-FRANCHE-COMTE,Association déclarée,25056,Besançon
Gestion des SOS chauves-souris dans le département de la Mayenne (Année 2025),"Le SOS Chauve-souris est un dispositif national de conservation des chiroptères, qui répond à deux problématiques rencontrées : les chauves-souris en détresse et les problèmes de cohabitation dans les bâtiments. En Mayenne, l’association Mayenne Nature Environnement porte l’action sur le volet de la cohabitation depuis les années 2000 grâce à un réseau de bénévoles et un investissement salarié importants.
L’association traite aujourd’hui 20 à 30 sollicitations de particuliers ou collectivités par an. La gestion se fait d’abord à distance et, dans plus de la moitié des cas, par une visite des lieux. Le dialogue et les solutions apportées aux propriétaires visent au maintien et à la pérennité des colonies dans les bâtiments. 
En 14 ans de suivi de l’action, ce sont ainsi plus de 277 sollicitations traitées, pour 12 espèces, dont certaines patrimoniales (Grand Murin, Petit Rhinolophe, Murin à oreilles échancrées…). Le dispositif permet la protection directe des chauves-souris anthropophiles et renforce les connaissances en Mayenne.",4680.00,23423130,2104810353,,,SN Biodiversité,Pays de la Loire,Mayenne,53,38043867100048,MAYENNE NATURE ENVIRONNEMENT,Association déclarée,53130,Laval
opération de résorption des habitations légères de loisirs. Site de Grand marais et du marais d'Etrun,"En 2021, le département du Nord a acquis environ 8 hectares de forêts marécageuses et d'un étang au sein du Grand marais de marais d'Etrun.
Au-delà de leur inscription au sein de la Z.N.I.E.F.F. du complexe écologique de la Sensée, leur richesse floristique a été démontrée lors d'une étude du Conservatoire Botanique National de Bailleul en 2022.
Le département souhaite dépolluer le site parcouru de multiples habitations légères de loisirs et déchets et en améliorer le potentiel écologique par un travail sur les berges de l'étang principal",53825.20,23456169,2104805145,,,SN Biodiversité,Hauts-de-France,Nord,59,22590001801244,DEPARTEMENT DU NORD,Département,59092,Bouchain
ABC Ain-Cerdon,"Le projet d’ABC Ain-Cerdon, porté par la Communauté de Communes Rives de l’Ain – Pays du Cerdon, vise à enrichir les connaissances naturalistes et intégrer les enjeux de biodiversité dans les politiques d’aménagement. Sur un territoire de 14 communes rurales, il s’attache à inventorier la biodiversité des milieux ouverts (coteaux calcaires, prairies, cultures céréalières) et du bâti, à sensibiliser le jeune comme le grand public ainsi qu'à mobiliser l'ensemble des acteurs locaux dans la réalisation d'un plan d'actions post-ABC. Le lien avec l'ensemble des politiques du projet de territoire (Projet Alimentaire Territorial, le Plan Paysage et les démarches touristiques...) garantit une approche transversale. L’ABC s’intègre dans une dynamique de long terme en vue d’un engagement dans le dispositif TEN. Enfin, il produira des outils concrets (guides, cartographies, supports pédagogiques) pour ancrer la biodiversité comme levier de développement local.",107656.72,23456912,,,,SN Biodiversité,Auvergne-Rhône-Alpes,Ain,01,20002999900014,COMMUNAUTE DE COMMUNES RIVES DE L'AIN PAYS DU CERDON,Communauté de communes,01199,Jujurieux
Actions de Protection de nouveaux sites et de restauration de sites protégés par le Conservatoire d'espaces naturels de Lorraine,"Engagement de démarches visant à accroître le nombre de sites protégés par le Conservatoire d'espaces naturels de Lorraine
Mise en œuvre d'opérations visant à restaurer des espaces au sein des sites naturels du CEN
Conception, programmation, mise en œuvre et suivi de projets de restauration de zones humides
Achats Matériels nécessaires à la réalisation de ces opérations et projets",213075.00,23457553,2104771516,,,SN Biodiversité,Grand Est,Meuse,55,33391556900110,CONSERVATOIRE D ESPACES NATURELS DE LORRAINE,"Association de droit local (Bas-Rhin, Haut-Rhin et Moselle)",55062,Bouconville-sur-Madt
ACI LINEA II REALISATION D’UN CORRIDOR ECOLOGIQUE ENTRE 2  ZONES D'HABITAT DU MOQUEUR GORGE BLANCHE SUR LA CARAVELLE -LA TRINITE MARTINIQUE : densification végétale et modélisation d'un concept de trame verte-,"L'Atelier et Chantier d'Insertion LINEA II s'inscrit dans la continuité d'un travail de recherche engagé par le Parc Naturel Régional de la Martinique en faveur de la préservation du moqueur gorge blanche (Ramphocinclus brachyurus ), oiseau endémique strict de la Martinique menacé d'extinction.
Ces deux dernières années, la contribution de spécialistes a permis d'élaborer un itinéraire technique à adapter aux spécificités de cette zone littorale Atlantique soumise à un stress hydrique intense, via l'insertion.
Il convient aujourd'hui de faire de cet espace un site pilote dans la mise en place de trames vertes sur le territoire. Une formalisation des processus de collecte, de multiplication des végétaux locaux difficiles à multiplier, de gestion de la ressource en eau dans un milieu marqué par le stress hydrique et un renforcement de la formation technique des futurs techniciens, qui devront en garantir la pérennité, font l'objet de cette nouvelle action pilote.",243378.00,23461240,2104871408,,,SN Biodiversité,Martinique,Martinique,972,25972001900043,SYNDICAT MIXTE DU PARC NATUREL REGIONAL DE MARTINIQUE,Syndicat mixte ouvert,97209,Fort-de-France
Elaboration d'un atlas de la biodiversité intercommunale du Pays de Landerneau Daoulas,"La Communauté d’agglomération du Pays de Landerneau Daoulas (CAPLD) regroupe 22 communes et plus de 50 000 habitants, avec un territoire riche en biodiversité et espaces protégés variés. Le projet d’Atlas de la Biodiversité Intercommunale (ABI), sur trois ans, vise à mieux connaître et protéger cette biodiversité, en intégrant les enjeux climatiques et d’aménagement durable, avec un focus sur la trame verte et bleue et la transformation des relations et du rapport au vivant. S’inscrivant dans une dynamique institutionnelle forte, il prévoit de consolider les connaissances, compléter les inventaires, mobiliser les citoyens et développer des outils opérationnels pour intégrer au mieux la biodiversité dans les documents d’urbanisme. Avec une gouvernance partagée et une participation citoyenne consolidée, l’ABI constitue une étape clé pour inscrire une nouvelle politique publique dédiée à la biodiversité au cœur des compétences de l'agglomération.",208000.00,23479828,,,,SN Biodiversité,Bretagne,Finistère,29,24290080100133,CA DU PAYS DE LANDERNEAU-DAOULAS,Communauté d'agglomération,29103,Landerneau
Renforcement de populations d'Alysson du Rhône (PNA),"L’Alysson du Rhône est une plante endémique de la Costière rhodanienne qui bénéficie d’un plan national d’actions (PNA 2023-2032). Cette espèce persiste dans seulement 3 localités. Les recherches de terrain réalisées dans toute la Costière entre Givors et Chateaubourg se sont révélées infructueuses. Les populations historiques semblent donc avoir disparu et la probabilité de découvrir de nouvelles localités est extrêmement faible.
Les populations drômoises et ardéchoises sont éloignées de 18 km. Cette faible connectivité supposée risque de mener à un isolement génétique susceptible d’engendrer une dérive génétique pouvant aller jusqu’à l’extinction totale de l’espèce.
Il est donc proposé dans le cadre de ce fonds vert de renforcer le nombre de populations d’Alysson du Rhône. 1 000 individus seront produits par le CBN Massif central pour cette expérimentation et repiqués au sein d’au moins 10 sites de réintroduction.",32293.94,23495436,2104802059,,,SN Biodiversité,Auvergne-Rhône-Alpes,Ardèche,07,25430117900027,SYNDICAT MIXTE DU CONSERVATOIRE BOTANIQUE DU MASSIF CENTRAL,Syndicat mixte ouvert,07009,Andance
ABC de la commune de Mandagout,"Mandagout, petit village des Cévennes, mène une réflexion sur deux problématiques liées entre elles: l’état de la biodiversité et l’état des sols de la commune. 
En effet, le changement climatique a une action délétère sur ces deux entités en particulier lors des épisodes cévenols dévastateurs ou des sécheresses récurrentes.
Le conseil municipal a décidé de lutter contre cette évolution en établissant tout d’abord un état des lieux, en particulier dans les milieux sensibles comme les ruisseaux, les traversiers de la culture de l’oignon doux, les hameaux voisins et enfin la forêt.
Il fait le pari qu’une meilleure gestion du cheminement de l’eau à travers la commune peut protéger et améliorer l’état des sols et de la biodiversité en général. 
Pour cela, il est nécessaire d’avoir une fine compréhension de la gestion ancestrale des centaines d’ouvrages de collecte et d’écoulement des eaux pluviales dont l’abandon pour une grande partie, a conduit à la déshérence des  écosystèmes liés.
Un inventaire est une première étape indispensable avant de chercher à comprendre l’impact de cet abandon sur les sols et définir les actions qui permettront de protéger ou de restaurer notre patrimoine naturel.
",25600.00,23520069,,,,SN Biodiversité,Occitanie,Gard,30,21300154800014,COMMUNE DE MANDAGOUT,Commune et commune nouvelle,30154,Mandagout
Atlas de la biodiversité communale de Saint-Josse,"Ce projet s’inscrit dans une démarche de partenariat entre la Commune de Saint-Josse-sur-Mer et le Conservatoire des espaces naturels des Hauts-de-France.
Dans le cadre de la candidature pour ce projet, nous nous sommes projetés sur une durée de 4 ans, de 2026 à 2029. L’objectif étant d’associer l’apport de connaissances et la mobilisation des acteurs locaux, en réalisant des inventaires scientifiques protocolés, et des suivis participatifs encadrés par un programme d’animation nature. Ce projet permettra de parcourir un programme défini à la fois scientifique et participatif, afin d’engager les acteurs du territoire dans les démarches.   Toutes les actions définies ont été concertées entre le CEN et les besoins, objectifs de la Commune, afin de proposer un projet cohérent avec les moyens humains et financiers, regroupant les études naturalistes, les actions de sensibilisation, ainsi que la communication.  
",40178.78,23522790,,,,SN Biodiversité,Hauts-de-France,Pas-de-Calais,62,21620752200014,COMMUNE DE SAINT JOSSE,Commune et commune nouvelle,62752,Saint-Josse
Aménagements pour mis en défend de gîtes à Chiroptères,"Le présent dossier vise à réaliser des aménagement (pose de grilles) de manière à sécuriser les accès à des zones de mise bas et d'hivernage pour 13 espèces de chauves-souris.

Toutes les opérations découlent d’un plan de gestion pluriannuel, réalisé en déclinaison du CT88, approuvé par le conseil scientifique du Cen Centre-Val de Loire et validé par son conseil d’administration.
",17914.60,23528446,2104674742,,,SN Biodiversité,Centre-Val de Loire,Indre-et-Loire,37,38509631800170,CONSERVATOIRE D ESPACES NATURELS CENTRE-VAL DE LOIRE,Association déclarée,37020,Beaulieu-lès-Loches
Atlas de la biodiversité communale de Dumbéa,"Porté par une association ancrée dans la vie locale et bénéficiant du soutien officiel de la mairie de Dumbéa et de la province Sud, le projet d’Atlas de la Biodiversité Communale (ABC) vise à mieux connaître, préserver et valoriser la biodiversité de Dumbéa. Centré sur les aires protégées de ce territoire et la rivière de Dumbéa, il comprend des inventaires naturalistes sur 6 taxons, un recueil des savoirs locaux et une large mobilisation citoyenne. Face aux pressions croissantes (fréquentation, espèces envahissantes, incendies, changement climatique), l’ABC permettra de mieux comprendre les enjeux écologiques et de les intégrer aux politiques publiques. Il contribuera notamment à la révision des documents d’urbanisme et du plan de gestion du parc, en articulant science, culture et participation.",88000.00,23534060,,,,SN Biodiversité,Nouvelle-Calédonie,Nouvelle-Calédonie,988,20001249000013,PROVINCE SUD,(Autre) Collectivité territoriale,98805,Dumbéa
Gestion des espèces exotiques envahissantes sur 3 aires protégées,"Le présent dossier vise à mener des opérations d'éradication d'espèces exotiques envahissantes sur 3 aires protégées du Cen CVL.
",7092.00,23543790,2104674506,,,SN Biodiversité,Centre-Val de Loire,Indre-et-Loire,37,38509631800170,CONSERVATOIRE D ESPACES NATURELS CENTRE-VAL DE LOIRE,Association déclarée,37123,Langeais
