nom;structure_porteuse;communes;annee_debut;statut_a_verifier;motif;requete_recherche
ABC de Loire Layon Aubance;CC Loire Layon Aubance;Aubigné-sur-Layon, Beaulieu-sur-Layon, Blaison-Saint-Sulpice, Brissac Loire Aubance, Chalonnes-sur-Loire, Champtocé-sur-Loire, Chaudefonds-sur-Layon, Terranjou, Denée, Les Garennes sur Loire, Mozé-sur-Louet, La Possonnière, Rochefort-sur-Loire, Saint-Georges-sur-Loire, Saint-Germain-des-Prés, Saint-Jean-de-la-Croix, Val-du-Layon, Saint-Melaine-sur-Aubance, Bellevigne-en-Layon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CC Loire Layon Aubance" Aubigné-sur-Layon
ABC de Longeville-Les-Metz;Longeville-lès-Metz;Longeville-lès-Metz;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Longeville-lès-Metz" Longeville-lès-Metz
ABC de Longuevillette;Longuevillette;Longuevillette;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Longuevillette" Longuevillette
ABC de Lucheux;Lucheux;Lucheux;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Lucheux" Lucheux
ABC de Maisdon-sur-Sèvre;Maisdon-sur-Sèvre;Maisdon-sur-Sèvre;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Maisdon-sur-Sèvre" Maisdon-sur-Sèvre
ABC de Marignier;Marignier;Marignier;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Marignier" Marignier
ABC de Marsac-sur-l'Isle;;Marsac-sur-l'Isle;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Marsac-sur-l'Isle" Marsac-sur-l'Isle
ABC de Martigues;Martigues;Martigues;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Martigues" Martigues
ABC de Matoury;;Matoury;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "de Matoury" Matoury
ABC de Mennecy;Mennecy;Mennecy;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Mennecy" Mennecy
ABC de Mennecy;;Mennecy;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Mennecy" Mennecy
ABC de Merdrignac;Merdrignac;Merdrignac;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Merdrignac" Merdrignac
ABC de Mesnières-en-Bray;Mesnières-en-Bray;Mesnières-en-Bray;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Mesnières-en-Bray" Mesnières-en-Bray
ABC de Meylan;Meylan;Meylan;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Meylan" Meylan
ABC de Miramas;Miramas;Miramas;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Miramas" Miramas
ABC de Monnaie;Monnaie;Monnaie;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Monnaie" Monnaie
ABC de Montbert;;Montbert;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "de Montbert" Montbert
ABC de Montdidier;Montdidier;Montdidier;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Montdidier" Montdidier
ABC de Montsinéry-Tonnégrande : « Nature et Culture, les racines profondes de notre terroir, tourné vers l’avenir »;;Montsinéry-Tonnegrande;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "de Montsinéry-Tonnégrande : « Nature et Culture, les racines profondes de notre terroir, tourné vers l’avenir »" Montsinéry-Tonnegrande
ABC de Mordelles - Le Rheu - Chavagne;Mordelles;Chavagne, Mordelles, Le Rheu;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Mordelles" Chavagne
ABC de Moulin-Neuf;Syndicat Mixte du Bassin de l'Isle;Moulin-Neuf;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte du Bassin de l'Isle" Moulin-Neuf
ABC de Naves;Naves;Naves;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Naves" Naves
ABC de Nerac;Nérac;Nérac;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Nérac" Nérac
ABC de Nevers;Nevers;Nevers;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Nevers" Nevers
ABC de Nogent-Le-Bernard;Nogent-le-Bernard;Nogent-le-Bernard;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Nogent-le-Bernard" Nogent-le-Bernard
ABC de Noisy-le-Grand;Noisy-le-Grand;Noisy-le-Grand;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Noisy-le-Grand" Noisy-le-Grand
ABC de Pannes;Pannes;Pannes;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Pannes" Pannes
ABC de Pianottoli-Caldarello;Pianottoli-Caldarello;Pianottoli-Caldarello;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Pianottoli-Caldarello" Pianottoli-Caldarello
ABC de Pipriac, Langon, Saint-Ganton, La Chapelle-de-Brain;Pipriac;La Chapelle-de-Brain, Langon, Pipriac, Saint-Ganton;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Pipriac" La Chapelle-de-Brain
ABC de Pluvigner;Pluvigner;Pluvigner;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Pluvigner" Pluvigner
ABC de Pommeuse;Pommeuse;Pommeuse;2010;En cours;début 2010 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Pommeuse" Pommeuse
ABC de Porto Vecchio;Porto-Vecchio;Porto-Vecchio;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Porto-Vecchio" Porto-Vecchio
ABC de Quiberon;Quiberon;Quiberon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Quiberon" Quiberon
ABC de Rennes;Rennes;Rennes;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Rennes" Rennes
ABC de Saché-Cheillé-Villaines-les-Rochers;Saché;Cheillé, Saché, Villaines-les-Rochers;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saché" Cheillé
ABC de Sains en Amiénois;Sains-en-Amiénois;Sains-en-Amiénois;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Sains-en-Amiénois" Sains-en-Amiénois
ABC de Saint Avertin;Tours Métropole Val de Loire;Saint-Avertin;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Tours Métropole Val de Loire" Saint-Avertin
ABC de Saint Etienne Métropole;Saint-Etienne Métropole;Aboën, Andrézieux-Bouthéon, Caloire, Cellieu, Chagnon, Chambœuf, Le Chambon-Feugerolles, Châteauneuf, Dargoire, Doizieux, L'Étrat, Farnay, Firminy, Fontanès, La Fouillouse, Fraisses, La Gimond, La Grand-Croix, L'Horme, Lorette, Marcenod, Pavezin, La Ricamarie, Rive-de-Gier, Roche-la-Molière, Rozier-Côtes-d'Aurec, Saint-Bonnet-les-Oules, Saint-Chamond, Saint-Christo-en-Jarez, Sainte-Croix-en-Jarez, Saint-Étienne, Saint-Galmier, Saint-Genest-Lerpt, Genilac, Saint-Héand, Saint-Jean-Bonnefonds, Saint-Joseph, Saint-Martin-la-Plaine, Saint-Maurice-en-Gourgois, Saint-Nizier-de-Fornas, Saint-Paul-en-Cornillon, Saint-Paul-en-Jarez, Saint-Priest-en-Jarez, Saint-Romain-en-Jarez, Sorbiers, La Talaudière, Tartaras, La Terrasse-sur-Dorlay, La Tour-en-Jarez, Unieux, Valfleury, La Valla-en-Gier, Villars;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Etienne Métropole" Aboën
ABC de Saint Malo Agglomération;CA du Pays de Saint Malo Agglomération;Cancale, Châteauneuf-d'Ille-et-Vilaine, La Fresnais, La Gouesnière, Hirel, Lillemer, Miniac-Morvan, Plerguer, Saint-Benoît-des-Ondes, Saint-Coulomb, Saint-Guinoux, Saint-Jouan-des-Guérets, Saint-Malo, Saint-Méloir-des-Ondes, Saint-Père-Marc-en-Poulet, Saint-Suliac, La Ville-ès-Nonais, Le Tronchet;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA du Pays de Saint Malo Agglomération" Cancale
ABC de Saint Maurice l'Exil;Saint-Maurice-l'Exil;Saint-Maurice-l'Exil;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Maurice-l'Exil" Saint-Maurice-l'Exil
ABC de Saint Pierre de Quiberon;Saint-Pierre-Quiberon;Saint-Pierre-Quiberon;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Pierre-Quiberon" Saint-Pierre-Quiberon
ABC de Saint Plantaire;Saint-Plantaire;Saint-Plantaire;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Plantaire" Saint-Plantaire
ABC de Saint-Augustin;Saint-Augustin;Saint-Augustin;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Augustin" Saint-Augustin
ABC de Saint-François;Saint-François;Saint-François;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-François" Saint-François
ABC de Saint-Germain-des-Prés;Saint-Germain-des-Prés;Saint-Germain-des-Prés;;En cours;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Saint-Germain-des-Prés" Saint-Germain-des-Prés
ABC de Saint-Germain-lès-Arpajon;Saint-Germain-lès-Arpajon;Saint-Germain-lès-Arpajon;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Germain-lès-Arpajon" Saint-Germain-lès-Arpajon
ABC de Saint-Germain-lès-Arpajon;;Saint-Germain-lès-Arpajon;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Saint-Germain-lès-Arpajon" Saint-Germain-lès-Arpajon
ABC de Saint-Hilaire-en-Lignières;Saint-Hilaire-en-Lignières;Saint-Hilaire-en-Lignières;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Saint-Hilaire-en-Lignières" Saint-Hilaire-en-Lignières
ABC de Saint-Just;Saint-Just;Saint-Just;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Saint-Just" Saint-Just
ABC de Saint-Martial-d'Albarède;Syndicat Mixte du Bassin de l'Isle;Saint-Martial-d'Albarède;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte du Bassin de l'Isle" Saint-Martial-d'Albarède
ABC de Saint-Martial-d'Artenset;Syndicat Mixte du Bassin de l'Isle;Saint-Martial-d'Artenset;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte du Bassin de l'Isle" Saint-Martial-d'Artenset
ABC de Saint-Menges;Saint-Menges;Saint-Menges;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Menges" Saint-Menges
ABC de Sainte-Anne;Sainte-Anne;Sainte-Anne;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Sainte-Anne" Sainte-Anne
ABC de San Giuliano;San-Giuliano;San-Giuliano;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "San-Giuliano" San-Giuliano
ABC de Sargé-sur-Braye;Sargé-sur-Braye;Sargé-sur-Braye;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Sargé-sur-Braye" Sargé-sur-Braye
ABC de Savigny-en-Sancerre;Savigny-en-Sancerre;Savigny-en-Sancerre;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Savigny-en-Sancerre" Savigny-en-Sancerre
ABC de Soustons;Soustons;Soustons;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Soustons" Soustons
ABC de St Chamas;Saint-Chamas;Saint-Chamas;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Saint-Chamas" Saint-Chamas
ABC de St-Michel-de-Double;Syndicat Mixte du Bassin de l'Isle;Saint-Michel-de-Double;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte du Bassin de l'Isle" Saint-Michel-de-Double
ABC de Thue et Mue;Thue et Mue;Thue et Mue;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Thue et Mue" Thue et Mue
ABC de Tigy;Tigy;Tigy;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Tigy" Tigy
ABC de Tournefeuille;Tournefeuille;Tournefeuille;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Tournefeuille" Tournefeuille
ABC de Trilport;Trilport;Trilport;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Trilport" Trilport
ABC de Val-de-Tilles et de Colmier-le-Haut;;Vals-des-Tilles, Colmier-le-Haut;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "de Val-de-Tilles et de Colmier-le-Haut" Vals-des-Tilles
ABC de Vannes-sur-Cosson;;Vannes-sur-Cosson;2022;En cours;début 2022 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Vannes-sur-Cosson" Vannes-sur-Cosson
ABC de Vauréal;Vauréal;Vauréal;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Vauréal" Vauréal
ABC de Vic le Comte;Vic-le-Comte;Vic-le-Comte;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Vic-le-Comte" Vic-le-Comte
ABC de Vieux-Habitant;Parc national de la Guadeloupe;Vieux-Habitants;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Parc national de la Guadeloupe" Vieux-Habitants
ABC de Villars sur Var et de Massouins;Villars-sur-Var;Massoins, Villars-sur-Var;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Villars-sur-Var" Massoins
ABC de Villefranche-sur-cher;Villefranche-sur-Cher;Villefranche-sur-Cher;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Villefranche-sur-Cher" Villefranche-sur-Cher
ABC de Vironchaux;Vironchaux;Vironchaux;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Vironchaux" Vironchaux
ABC de l'Ernée;;Andouillé, La Baconnière, La Bigottière, Chailland, La Croixille, Ernée, Juvigné, Larchamp, Montenay, La Pellerine, Saint-Denis-de-Gastines, Saint-Germain-le-Guillaume, Saint-Hilaire-du-Maine, Saint-Pierre-des-Landes, Vautorte;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "de l'Ernée" Andouillé
ABC de la CU de Dunkerque;CU de Dunkerque;Grande-Synthe, Gravelines;2015;En cours;début 2015 → potentiellement terminé;"atlas de la biodiversité communale" "CU de Dunkerque" Grande-Synthe
ABC de la Communauté d'agglomération Melun Val de Seine;CA Melun Val de Seine;Boissettes, Boissise-la-Bertrand, Boissise-le-Roi, Dammarie-les-Lys, Limoges-Fourches, Lissy, Livry-sur-Seine, Maincy, Le Mée-sur-Seine, Melun, Montereau-sur-le-Jard, Pringy, La Rochette, Rubelles, Saint-Fargeau-Ponthierry, Saint-Germain-Laxis, Seine-Port, Vaux-le-Pénil, Villiers-en-Bière, Voisenon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Melun Val de Seine" Boissettes
ABC de la Communauté d'agglomération Val d'Yerres Val de Seine;CA Val d'Yerres Val de Seine;Boussy-Saint-Antoine, Brunoy, Crosne, Draveil, Épinay-sous-Sénart, Montgeron, Quincy-sous-Sénart, Vigneux-sur-Seine, Yerres;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA Val d'Yerres Val de Seine" Boussy-Saint-Antoine
ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Anizy-le-Grand, Barisis-aux-Bois, Bassoles-Aulers, Besmé, Blérancourt, Bourguignon-sous-Coucy, Bourguignon-sous-Montbavin, Brancourt-en-Laonnois, Camelin, Chaillevois, Champs, Coucy-le-Château-Auffrique, Coucy-la-Ville, Crécy-au-Mont, Folembray, Fresnes-sous-Coucy, Guny, Jumencourt, Landricourt, Leuilly-sous-Coucy, Merlieux-et-Fouquerolles, Montbavin, Pinon, Pont-Saint-Mard, Prémontré, Quincy-Basse, Royaucourt-et-Chailvet, Saint-Aubin, Saint-Paul-aux-Bois, Selens, Septvaux, Trosly-Loire, Urcel, Vauxaillon, Verneuil-sous-Coucy, Wissignicourt;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "CC Picardie des Châteaux" Anizy-le-Grand
ABC de la Communauté d’Agglomération du Beauvaisis;CA du Beauvaisis;Allonne, Auchy-la-Montagne, Auneuil, Auteuil, Bailleul-sur-Thérain, Beauvais, Berneuil-en-Bray, Bonlier, Bresles, Crèvecœur-le-Grand, Le Fay-Saint-Quentin, Fontaine-Saint-Lucien, Fouquenies, Fouquerolles, Francastel, Frocourt, Goincourt, Guignecourt, Haudivillers, Herchies, Hermes, Juvignies, Lachaussée-du-Bois-d'Écu, Lafraye, Laversines, Litz, Luchy, Maisoncelle-Saint-Pierre, Maulers, Milly-sur-Thérain, Le Mont-Saint-Adrien, Muidorge, La Neuville-en-Hez, Nivillers, Pierrefitte-en-Beauvaisis, Rainvillers, Rémérangles, Rochy-Condé, Rotangy, La Rue-Saint-Pierre, Saint-Germain-la-Poterie, Saint-Léger-en-Bray, Saint-Martin-le-Nœud, Saint-Paul, Le Saulchoy, Savignies, Therdonne, Tillé, Troissereux, Velennes, Verderel-lès-Sauqueuse, Warluis, Aux Marais;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA du Beauvaisis" Allonne
ABC de la Maye;Baie de somme 3 Vallées;Arry, Bernay-en-Ponthieu, Brailly-Cornehotte, Crécy-en-Ponthieu, Le Crotoy, Estrées-lès-Crécy, Favières, Fontaine-sur-Maye, Forest-Montiers, Froyelles, Machiel, Machy, Regnière-Écluse, Rue, Saint-Quentin-en-Tourmont;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Baie de somme 3 Vallées" Arry
ABC de la Métropole Toulon Provence Méditerranée;Métropole Toulon-Provence-Méditerranée;Carqueiranne, La Crau, La Garde, Hyères, Ollioules, Le Pradet, Le Revest-les-Eaux, La Seyne-sur-Mer, Six-Fours-les-Plages, Toulon, La Valette-du-Var, Saint-Mandrier-sur-Mer;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Métropole Toulon-Provence-Méditerranée" Carqueiranne
ABC de la Vallée de la Haute Sarthe (PNR Normandie-Maine);Normandie-Maine;Aunay-les-Bois, Coulonges-sur-Sarthe, Hauterive, Laleu, Marchemaisons, Le Mêle-sur-Sarthe, Le Ménil-Broût, Saint-Aubin-d'Appenai, Saint-Léger-sur-Sarthe, Les Ventes-de-Bourse;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Normandie-Maine" Aunay-les-Bois
ABC de la Vallée dorée;;Bailleval, Cauffry, Labruyère, Laigneville, Liancourt, Mogneville, Monchy-Saint-Éloi, Rantigny, Rosoy, Verderonne;2018;En cours;début 2018 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de la Vallée dorée" Bailleval
ABC de la communauté d'agglomération du Grand Avignon;CA du Grand Avignon (COGA);Pujaut, Roquemaure, Sauveterre, Villeneuve-lès-Avignon, Avignon, Caumont-sur-Durance, Saint-Saturnin-lès-Avignon, Velleron;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA du Grand Avignon (COGA)" Pujaut
ABC de la communauté de commune du Pays d'Iroise;CC du Pays d'Iroise;Brélès, Le Conquet, Milizac-Guipronvel, Île-Molène, Lampaul-Plouarzel, Lampaul-Ploudalmézeau, Landunvez, Lanildut, Lanrivoaré, Locmaria-Plouzané, Plouarzel, Ploudalmézeau, Plougonvelin, Ploumoguer, Plourin, Saint-Renan, Trébabu, Tréouergat;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CC du Pays d'Iroise" Brélès
ABC de la communauté de communes Commentry - Montmarault - Néris communauté;CC Commentry Montmarault Néris Communauté;Beaune-d'Allier, Bézenet, Bizeneuille, Blomard, La Celle, Chamblet, Chappes, Chavenon, Colombier, Commentry, Cosne-d'Allier, Deneuille-les-Mines, Doyet, Durdat-Larequille, Hyds, Louroux-de-Beaune, Malicorne, Montmarault, Montvicq, Murat, Néris-les-Bains, Saint-Angel, Saint-Bonnet-de-Four, Saint-Marcel-en-Murat, Saint-Priest-en-Murat, Sauvagny, Sazeret, Tortezais, Venas, Verneix, Vernusse, Villefranche-d'Allier, Voussac;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "CC Commentry Montmarault Néris Communauté" Beaune-d'Allier
ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Ambleny, Ancienville, Audignicourt, Berny-Rivière, Bieuxy, Chouy, Cœuvres-et-Valsery, Corcy, Coyolles, Cutry, Dammard, Dampleux, Dommiers, Épagny, Faverolles, La Ferté-Milon, Fleury, Fontenoy, Haramont, Largny-sur-Automne, Laversine, Longpont, Louâtre, Macogny, Marizy-Sainte-Geneviève, Marizy-Saint-Mard, Monnes, Montgobert, Montigny-Lengrain, Morsain, Mortefontaine, Noroy-sur-Ourcq, Nouvron-Vingré, Oigny-en-Valois, Passy-en-Valois, Pernant, Puiseux-en-Retz, Ressons-le-Long, Retheuil, Saconin-et-Breuil, Saint-Bandry, Saint-Christophe-à-Berry, Saint-Pierre-Aigle, Silly-la-Poterie, Soucy, Taillefontaine, Tartiers, Troësnes, Vassens, Vézaponin, Vic-sur-Aisne, Villers-Cotterêts, Villers-Hélon, Vivières;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "CC Retz-en-Valois" Ambleny
ABC de la communauté de communes de Vendeuvre-Soulaines (CCVS);CC de Vendeuvre-Soulaines;Amance, Argançon, Beurey, Bossancourt, La Chaise, Champ-sur-Barse, Chaumesnil, Colombé-la-Fosse, Crespy-le-Neuf, Dolancourt, Éclance, Épothémont, Fresnay, Fuligny, Jessains, Juzanvigny, Lévigny, La Loge-aux-Chèvres, Longpré-le-Sec, Magny-Fouchard, Maison-des-Champs, Maisons-lès-Soulaines, Montmartin-le-Haut, Morvilliers, Petit-Mesnil, Puits-et-Nuisement, La Rothière, Saulcy, Soulaines-Dhuys, Thil, Thors, Trannes, Vauchonvilliers, Vendeuvre-sur-Barse, Vernonvilliers, La Ville-aux-Bois, La Villeneuve-au-Chêne, Ville-sur-Terre;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CC de Vendeuvre-Soulaines" Amance
ABC de la ville de Metz;Metz;Metz;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Metz" Metz
ABC des Grands Lacs;CC des Grands Lacs;Biscarrosse, Gastes, Lüe, Parentis-en-Born, Sainte-Eulalie-en-Born, Sanguinet, Ychoux;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "CC des Grands Lacs" Biscarrosse
ABC des mares du Nord Grande-Terre;CA du Nord Grande Terre;Anse-Bertrand, Morne-à-l'Eau, Le Moule, Petit-Canal, Port-Louis;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "CA du Nord Grande Terre" Anse-Bertrand
ABC des sources du Salembre (Saint-Aquilin);SMBI (Syndicat Mixte du Bassin de l'Isle);Saint-Aquilin;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "SMBI (Syndicat Mixte du Bassin de l'Isle)" Saint-Aquilin
ABC du Gosier;Le Gosier;Le Gosier;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Le Gosier" Le Gosier
ABC du Grand Auch Cœur de Gascogne;CA Grand Auch Coeur de Gascogne;Antras, Auch, Augnax, Auterive, Ayguetinte, Biran, Bonas, Castelnau-Barbarens, Castéra-Verduzan, Castillon-Massas, Castin, Crastes, Duran, Jegun, Lahitte, Lavardens, Leboulin, Mérens, Mirepoix, Montaut-les-Créneaux, Montégut, Nougaroulet, Ordan-Larroque, Pavie, Pessan, Peyrusse-Massas, Preignan, Puycasquier, Roquefort, Roquelaure, Sainte-Christie, Saint-Jean-Poutge, Saint-Lary, Tourrenquets;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "CA Grand Auch Coeur de Gascogne" Antras
ABC du Grand Paris Sud Seine Essonne Sénart;CA Grand Paris Sud Seine Essonne Sénart;Cesson, Combs-la-Ville, Lieusaint, Moissy-Cramayel, Nandy, Réau, Savigny-le-Temple, Vert-Saint-Denis, Bondoufle, Corbeil-Essonnes, Le Coudray-Montceaux, Étiolles, Évry-Courcouronnes, Grigny, Lisses, Morsang-sur-Seine, Ris-Orangis, Saint-Germain-lès-Corbeil, Saint-Pierre-du-Perray, Saintry-sur-Seine, Soisy-sur-Seine, Tigery, Villabé;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "CA Grand Paris Sud Seine Essonne Sénart" Cesson
ABC du Grand Périgueux;CA Le Grand Périgueux  SMBI (Syndicat Mixte du Bassin de l'Isle);Agonac, Annesse-et-Beaulieu, Antonne-et-Trigonant, Bassillac et Auberoche, Boulazac Isle Manoire, Bourrou, Chalagnac, Champcevinel, Chancelade, La Chapelle-Gonaguet, Château-l'Évêque, Cornille, Coulounieix-Chamiers, Coursac, Creyssensac-et-Pissot, La Douze, Église-Neuve-de-Vergt, Escoire, Fouleix, Grun-Bordas, Lacropte, Manzac-sur-Vern, Marsac-sur-l'Isle, Mensignac, Sanilhac, Paunat, Périgueux, Razac-sur-l'Isle, Val de Louyre et Caudeau, Saint-Amand-de-Vergt, Saint-Crépin-d'Auberoche, Saint-Geyrac, Saint-Mayme-de-Péreyrol, Saint-Michel-de-Villadeix, Saint-Paul-de-Serre, Saint-Pierre-de-Chignac, Salon, Sarliac-sur-l'Isle, Savignac-les-Églises, Sorges et Ligueux en Périgord, Trélissac, Vergt, Veyrines-de-Vergt;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA Le Grand Périgueux  SMBI (Syndicat Mixte du Bassin de l'Isle)" Agonac
ABC du Loroux-Bottereau;Le Loroux-Bottereau;Le Loroux-Bottereau;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Le Loroux-Bottereau" Le Loroux-Bottereau
ABC du PNR Haute Vallée de Chevreuse;Haute Vallée De Chevreuse;Auffargis, Bonnelles, Les Bréviaires, Bullion, Cernay-la-Ville, Châteaufort, Chevreuse, Clairefontaine-en-Yvelines, Gambais, Grosrouvre, Hermeray, Jouars-Pontchartrain, Magny-les-Hameaux, Poigny-la-Forêt, Rochefort-en-Yvelines, Saint-Lambert, Saint-Rémy-l'Honoré, Les Molières, Pecqueuse;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Haute Vallée De Chevreuse" Auffargis
